Genes	Description	Preferred_name
Mhon_017643	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	Mgat2
Mhon_017644	protein K33-linked deubiquitination	trbd
Mhon_017646	mannosyl-oligosaccharide glucosidase activity	-
Mhon_017647	chromatin organization	-
Mhon_017648	Transcription factor	AP-2
Mhon_017649	N-acetylglucosaminyltransferase II (MGAT2)	Mgat2
Mhon_017650	histone H4-K16 acetylation	Rcd1
Mhon_017651	Dual specificity phosphatase 11 (RNA RNP complex 1-interacting)	-
Mhon_017654	oxidoreductase activity	-
Mhon_017656	Aminotransferase class I and II	-
Mhon_017657	oxidoreductase activity	-
Mhon_017658	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase	-
Mhon_017660	negative stranded viral RNA replication	-
Mhon_017662	selective autophagy	-
Mhon_017675	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome	-
Mhon_017677	glycogenin glucosyltransferase activity	-
Mhon_017677	Transferase activity, transferring glycosyl groups	-
Mhon_017680	MCM2/3/5 family	Mcm3
Mhon_017681	Glutaredoxin 3	-
Mhon_017682	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	Tsf2
Mhon_017684	Zinc ion binding	neur
Mhon_017688	integrator complex subunit 4	-
Mhon_017689	H ACA ribonucleoprotein complex subunit	NHP2
Mhon_017692	Transcription factor	-
Mhon_017696	Taurine catabolism dioxygenase TauD, TfdA family	gbh-2
Mhon_017697	snoRNA binding	-
Mhon_017698	Nucleotidyltransferase activity. It is involved in the biological process described with NAD biosynthetic process	-
Mhon_017702	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_017712	Domain of unknown function (DUF3472)	-
Mhon_017714	-	-
Mhon_017716	7 transmembrane receptor (rhodopsin family)	ser-2
Mhon_017718	serine active site containing 1	-
Mhon_017719	GTPase activator activity	-
Mhon_017722	Lipoma HMGIC fusion partner	-
Mhon_017723	DNA binding	opa
Mhon_017724	DNA binding	opa
Mhon_017726	DNA binding	opa
Mhon_017728	Kazal-type serine protease inhibitor domain	-
Mhon_017730	guanyl-nucleotide exchange factor activity	-
Mhon_017731	Cell surface proteoglycan that bears heparan sulfate	Gpc6
Mhon_017733	Transferase activity, transferring phosphorus-containing groups	-
Mhon_017736	Transferase activity, transferring phosphorus-containing groups	-
Mhon_017745	DNA replication initiation	Mcm7
Mhon_017746	Defective in cullin neddylation 1 domain containing	-
Mhon_017759	Required in the presynaptic motoneuron to down-regulate the levels of wnd and restrain synaptic terminal growth at the neuromuscular junction (NMJ)	Fsn
Mhon_017760	Mitochondrial intermediate peptidase	-
Mhon_017762	Alkaline ceramidase 3	-
Mhon_017763	phytosphingosine metabolic process	-
Mhon_017764	Tetraspanin family	-
Mhon_017766	SET and MYND domain-containing protein 5	-
Mhon_017767	Transmembrane protein 129	-
Mhon_017768	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity	-
Mhon_017773	N-terminal region of glycosyl transferase group 7	-
Mhon_017778	peptidase activity	-
Mhon_017783	Lytic polysaccharide mono-oxygenase, cellulose-degrading	-
Mhon_017786	Belongs to the CRISP family	-
Mhon_017787	GLIPR1-like protein 1	-
Mhon_017789	Belongs to the peptidase C2 family	tra-3
Mhon_017790	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.	-
Mhon_017791	Peptidase inhibitor 16	-
Mhon_017792	GLI pathogenesis-related 1 like 2	-
Mhon_017793	-	-
Mhon_017794	Belongs to the peptidase C2 family	tra-3
Mhon_017795	Belongs to the peptidase C2 family	tra-3
Mhon_017797	Sulfotransferase	-
Mhon_017797	Sulfotransferase family, cytosolic, 1C, member 4	-
Mhon_017799	Family with sequence similarity 43 member A	-
Mhon_017801	ribonuclease P activity	-
Mhon_017804	Domain of unknown function (DUF4517)	-
Mhon_017805	Glycosyl hydrolase family 79, N-terminal domain	-
Mhon_017807	tRNA pseudouridine synthase activity	-
Mhon_017808	-	-
Mhon_017811	tRNA pseudouridine synthase activity	-
Mhon_017813	nucleoside triphosphate catabolic process	-
Mhon_017816	monooxygenase activity	-
Mhon_017816	aromatase activity	-
Mhon_017817	monooxygenase activity	-
Mhon_017818	aromatase activity	-
Mhon_017819	cytochrome P450	-
Mhon_017820	cytochrome P450	-
Mhon_017821	arachidonic acid 14,15-epoxygenase activity	-
Mhon_017823	neurexin family protein binding	NLG-3
Mhon_017824	neurexin family protein binding	NLG-3
Mhon_017826	Carboxylesterase family	-
Mhon_017829	Aralkyl acyl-CoA:amino acid N-acyltransferase	-
Mhon_017831	cytochrome P450	-
Mhon_017837	nucleic acid-templated transcription	-
Mhon_017838	nucleic acid-templated transcription	-
Mhon_017839	adenyl-nucleotide exchange factor activity	Roe1
Mhon_017842	zinc ion binding	-
Mhon_017849	Glutamate receptor, ionotropic, kainate 4	-
Mhon_017850	AP-5 complex subunit sigma-1	-
Mhon_017853	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane	SRP72
Mhon_017854	RAB28, member RAS oncogene family	-
Mhon_017855	Ankyrin repeats (many copies)	-
Mhon_017856	Nuclear fragile X mental	Nufip
Mhon_017858	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor	Fer3HCH
Mhon_017859	ferric iron binding	-
Mhon_017864	ADP-ribosylglycohydrolase	-
Mhon_017867	-	-
Mhon_017868	poly-U binding splicing factor	-
Mhon_017869	Copper/zinc superoxide dismutase (SODC)	-
Mhon_017870	Exonuclease 3'-5' domain-containing protein 2	-
Mhon_017871	activity. It is involved in the biological process described with metabolic process	Dhpr
Mhon_017872	Zinc ion binding	-
Mhon_017874	Protease-associated domain-containing protein 1	-
Mhon_017875	guanylate cyclase activity	-
Mhon_017881	tumor necrosis factor (ligand) superfamily, member	-
Mhon_017883	acyl-CoA dehydrogenase	-
Mhon_017884	mediator of RNA polymerase II transcription subunit	MED11
Mhon_017885	acyl-CoA synthetase long-chain family member 4	acs-17
Mhon_017889	microtubule motor activity	-
Mhon_017892	trans-synaptic signaling by soluble gas, modulating synaptic transmission	gcy-35
Mhon_017893	glutathione-disulfide reductase activity	-
Mhon_017894	Protein tyrosine phosphatase activity. It is involved in the biological process described with mitotic M phase	Cdc25
Mhon_017895	Si ch211-59c24.1	-
Mhon_017895	Tetraspanin family	-
Mhon_017898	Kyphoscoliosis peptidase	-
Mhon_017900	zinc ion binding	-
Mhon_017901	eukaryotic translation initiation factor 2-alpha kinase	PEK
Mhon_017902	Homocysteine S-methyltransferase	-
Mhon_017907	snRNA processing	-
Mhon_017909	basic, immunoglobulin-like variable	-
Mhon_017910	metalloaminopeptidase activity	Npepps
Mhon_017911	glutamate 5-kinase activity	alh-13
Mhon_017913	chitinase activity	-
Mhon_017916	chitinase activity	-
Mhon_017921	Cysteine-rich secretory protein	-
Mhon_017922	Leukocyte elastase inhibitor	-
Mhon_017924	Cysteine-rich secretory protein	-
Mhon_017930	serine-type endopeptidase inhibitor activity	-
Mhon_017931	Belongs to the serpin family	-
Mhon_017933	alkylhalidase activity	-
Mhon_017935	glutathione transferase activity	GSTD4
Mhon_017941	WD repeat domain 54	-
Mhon_017945	Small nuclear ribonucleoprotein	-
Mhon_017950	Serpentine type 7TM GPCR chemoreceptor Srw	SPR
Mhon_017952	Ubiquitin domain-containing protein	-
Mhon_017956	calcium channel activity	-
Mhon_017963	calcium channel activity	-
Mhon_017965	calcium channel activity	-
Mhon_017969	attachment of spindle microtubules to kinetochore	Bub3
Mhon_017970	Xylulokinase homolog (H. influenzae)	-
Mhon_017977	Transforming acidic coiled-coil-containing protein (TACC)	tacc
Mhon_017978	stAR-related lipid transfer	-
Mhon_017985	Scavenger receptor class A, member	-
Mhon_017994	Polymerase (DNA directed), lambda	-
Mhon_017997	Scavenger receptor class A, member	-
Mhon_018000	DDE superfamily endonuclease	-
Mhon_018001	DDE superfamily endonuclease	-
Mhon_018004	5'-deoxyribose-5-phosphate lyase activity	-
Mhon_018007	5'-deoxyribose-5-phosphate lyase activity	-
Mhon_018011	WD40 repeats	WDR11
Mhon_018013	phosphatase	-
Mhon_018016	viral mRNA export from host cell nucleus	-
Mhon_018017	WD40 repeats	WDR11
Mhon_018018	viral mRNA export from host cell nucleus	-
Mhon_018023	viral mRNA export from host cell nucleus	-
Mhon_018025	THO complex	-
Mhon_018027	THO complex subunit	-
Mhon_018029	Src homology 3 domains	-
Mhon_018046	alpha1-adrenergic receptor activity	-
Mhon_018050	protein kinase activity	-
Mhon_018056	Protein prenyltransferase alpha subunit repeat	Fnta
Mhon_018057	Protein farnesyltransferase geranylgeranyltransferase type-1 subunit	Fnta
Mhon_018058	Protein prenyltransferase alpha subunit repeat	Fnta
Mhon_018059	Protein farnesyltransferase geranylgeranyltransferase type-1 subunit	Fnta
Mhon_018060	DNA-directed 5'-3' RNA polymerase activity	RpII140
Mhon_018061	DNA-directed 5'-3' RNA polymerase activity	RpII140
Mhon_018069	-	-
Mhon_018083	Enzyme regulator activity. It is involved in the biological process described with regulation of protein catabolic process	-
Mhon_018086	regulation of protein catabolic process	-
Mhon_018088	Receptor	-
Mhon_018089	regulation of protein catabolic process	-
Mhon_018090	RNA secondary structure unwinding	Hlc
Mhon_018091	ATP-dependent RNA helicase activity	-
Mhon_018094	Golgi transport vesicle coating	eca
Mhon_018097	C-type lectin domain family 4 member G-like	-
Mhon_018099	protein serine/threonine phosphatase activity	-
Mhon_018103	It is involved in the biological process described with proteolysis	-
Mhon_018105	glutamate receptor	-
Mhon_018107	calcium ion binding	-
Mhon_018114	platelet maturation	-
Mhon_018115	ELMO/CED-12 family	-
Mhon_018142	Major Facilitator Superfamily	-
Mhon_018144	Major Facilitator Superfamily	-
Mhon_018145	Major Facilitator Superfamily	Mct1
Mhon_018148	Thyroid hormone-inducible hepatic protein Spot 14	-
Mhon_018149	LIM and senescent cell antigen-like-containing domain protein	unc-97
Mhon_018150	LIM and senescent cell antigen-like-containing domain protein	unc-97
Mhon_018178	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_018180	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_018203	N-terminal region of glycosyl transferase group 7	-
Mhon_018207	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_018208	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_018209	Thrombospondin type 1 repeats	-
Mhon_018213	Scavenger receptor Cys-rich	-
Mhon_018215	Scavenger receptor class A, member	-
Mhon_018216	scavenger receptor activity	-
Mhon_018219	EXOIII	-
Mhon_018220	26S proteasome non-ATPase regulatory subunit	Pros54
Mhon_018221	Belongs to the short-chain dehydrogenases reductases (SDR) family	-
Mhon_018222	Germ cell associated 2 (haspin)	Haspin
Mhon_018225	transposition, RNA-mediated	-
Mhon_018226	scavenger receptor activity	-
Mhon_018227	Exoribonuclease 1	-
Mhon_018228	-	-
Mhon_018229	-	-
Mhon_018230	It is involved in the biological process described with proteolysis	-
Mhon_018231	It is involved in the biological process described with proteolysis	-
Mhon_018240	2-oxobutyrate metabolic process	-
Mhon_018241	ribosomal RNA processing 12 homolog	-
Mhon_018242	NUC173 domain	-
Mhon_018246	metaphase/anaphase transition of mitotic cell cycle	-
Mhon_018248	Leucine rich repeat containing 27	-
Mhon_018249	protein serine threonine kinase activity. It is involved in the biological process described with	-
Mhon_018251	SH3 domain-binding protein 2	-
Mhon_018252	tumor protein	Tctp
Mhon_018254	transmembrane transport	-
Mhon_018268	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily	-
Mhon_018269	protein tyrosine/threonine phosphatase activity	-
Mhon_018277	Splicing factor 3a, subunit	-
Mhon_018279	-	-
Mhon_018281	Ion channel activity. It is involved in the biological process described with ion transport	-
Mhon_018292	Ion channel activity. It is involved in the biological process described with ion transport	-
Mhon_018293	NFKB activating	-
Mhon_018299	nuclear export signal receptor activity	Ranbp16
Mhon_018300	peptidyl-serine phosphorylation	-
Mhon_018302	Exportin 7	Ranbp16
Mhon_018304	SOUL heme-binding protein	-
Mhon_018309	Sodium:dicarboxylate symporter family	-
Mhon_018311	amino acid transporter	-
Mhon_018313	Sodium:dicarboxylate symporter family	-
Mhon_018330	arsonoacetate metabolic process	-
Mhon_018332	Arsenic ( 3 oxidation state) methyltransferase	-
Mhon_018339	major facilitator superfamily	rtet
Mhon_018341	Copper homeostasis protein cutC homolog	-
Mhon_018351	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	-
Mhon_018353	metal ion binding	mbl
Mhon_018355	regulation of RNA splicing	-
Mhon_018371	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	-
Mhon_018372	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	-
Mhon_018376	motor learning	-
Mhon_018380	iron ion binding	-
Mhon_018385	Sugar (and other) transporter	Glut1
Mhon_018386	Fringe-like	-
Mhon_018387	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity. It is involved in the biological process described with O-glycan processing	-
Mhon_018389	E3 ubiquitin-protein ligase required for accumulation of repair proteins to sites of DNA damage. Acts with UBE2N UBC13 to amplify the RNF8-dependent histone ubiquitination. Recruited to sites of DNA damage at double-strand breaks (DSBs) by binding to ubiquitinated histone H2A and ubiquitinates histone H2A and H2AX, leading to amplify the RNF8-dependent H2A ubiquitination and promoting the formation of 'Lys-63'-linked ubiquitin conjugates. This leads to concentrate ubiquitinated histones H2A and H2AX at DNA lesions to the threshold required for recruitment of TP53BP1 and BRCA1. Catalyzes monoubiquitination of 'Lys-13' and 'Lys-15' of nucleosomal histone H2A (H2AK13Ub and H2AK15Ub, respectively)	-
Mhon_018399	GRIP and coiled-coil	-
Mhon_018405	Rab GTPase binding	-
Mhon_018408	Fragile X mental retardation	Fmr1
Mhon_018410	Fragile X mental retardation	Fmr1
Mhon_018411	RNA strand annealing activity	Fmr1
Mhon_018413	transferase activity, transferring acyl groups other than amino-acyl groups	-
Mhon_018415	transmembrane protein 256	-
Mhon_018425	Rab GTPase binding	-
Mhon_018428	nuclease activity	-
Mhon_018431	Coenzyme binding	-
Mhon_018432	translation initiation factor activity	4EHP
Mhon_018433	Vitamin-D-receptor interacting Mediator subunit 4	MED4
Mhon_018434	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily	-
Mhon_018435	Animal haem peroxidase	-
Mhon_018436	Animal haem peroxidase	-
Mhon_018437	poly(A) binding protein interacting protein 2	-
Mhon_018438	-	-
Mhon_018439	polyadenylate-binding protein-interacting protein	-
Mhon_018440	Fucosyltransferase activity. It is involved in the biological process described with protein glycosylation	FucTA
Mhon_018443	-	-
Mhon_018444	-	-
Mhon_018445	-	-
Mhon_018446	-	-
Mhon_018447	-	-
Mhon_018448	Small integral membrane protein	-
Mhon_018449	-	-
Mhon_018452	adenylate cyclase-activating G-protein coupled receptor signaling pathway	-
Mhon_018456	cell wall polysaccharide biosynthetic process	-
Mhon_018457	cell wall polysaccharide biosynthetic process	-
Mhon_018458	cell wall polysaccharide biosynthetic process	-
Mhon_018459	modification of morphology or physiology of other organism via secreted substance involved in symbiotic interaction	-
Mhon_018461	regulation of response to stimulus	-
Mhon_018464	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
